id,label,atlas_mm3,left_mm3,right_mm3,retention_%,left_fragmented,right_fragmented,lr_volume_ratio,t1_mean_left,t1_mean_right,mirror_err_mm,compactness_l,compactness_r,t1_outlier_l,t1_outlier_r,gradient_l,gradient_r,bbox_fill_l,bbox_fill_r,glcm_homo_l,glcm_homo_r,consist_score,loo_dsc,quality_score,morph_flags,tier,tier_note
1,AD,9.0,5.0,6.0,61.1,False,True,0.83,-0.081,0.093,0.3,1.0,0.96,0.0,0.0,0.762,0.763,0.556,0.25,—,—,0.359,0.187,0.382,Hastalar arasi tutarsiz (CV skoru=0.36); Tek hemisfer parcali,TIER-3,Guvenilmez — kucuk veya kotu propagate
2,AM,50.0,32.0,24.0,56.0,False,False,1.33,0.272,0.769,0.8,0.774,0.684,0.125,0.125,0.766,0.8,0.267,0.24,—,—,0.718,0.479,0.63,T1 outlier orta (0.12),TIER-1,Guvenilir — uzman dogrulamasi onerilir
3,AV,292.0,187.0,205.0,67.1,False,False,0.91,0.482,0.626,0.6,0.687,0.664,0.123,0.215,0.567,0.43,0.277,0.248,—,—,0.736,0.657,0.827,T1 outlier yuksek (0.21),TIER-1,Guvenilir — uzman dogrulamasi onerilir
4,CL,884.0,610.0,564.0,66.4,False,False,1.08,0.832,0.828,0.3,0.391,0.378,0.2,0.199,0.322,0.306,0.202,0.147,0.998,0.998,0.8,0.528,0.798,T1 outlier yuksek (0.20),TIER-1,Guvenilir — uzman dogrulamasi onerilir
5,CM,308.0,267.0,253.0,84.4,False,False,1.06,1.209,1.202,0.3,0.825,0.789,0.015,0.024,0.15,0.15,0.353,0.347,0.999,0.999,0.852,0.623,0.865,—,TIER-1,Guvenilir — uzman dogrulamasi onerilir
6,CeM,154.0,104.0,88.0,62.3,False,False,1.18,0.67,0.77,0.6,0.599,0.648,0.086,0.182,0.631,0.511,0.186,0.251,—,—,0.696,0.467,0.717,T1 outlier yuksek (0.18),TIER-1,Guvenilir — uzman dogrulamasi onerilir
7,Hb,51.0,19.0,22.0,40.2,False,False,0.86,0.079,-0.213,0.5,0.857,0.767,0.263,0.091,0.997,0.972,0.396,0.306,—,—,0.622,0.45,0.551,T1 outlier yuksek (0.26),TIER-2,Belirsiz  — dikkatli inceleme gerekli
8,LD,164.0,121.0,101.0,67.7,False,False,1.2,0.44,0.558,0.2,0.56,0.583,0.017,0.04,0.476,0.384,0.14,0.194,—,—,0.606,0.445,0.743,—,TIER-1,Guvenilir — uzman dogrulamasi onerilir
9,LGNmc,77.0,59.0,70.0,83.8,False,True,0.84,0.857,0.806,0.2,0.616,0.523,0.051,0.057,0.701,0.624,0.205,0.182,—,—,0.826,0.378,0.58,Tek hemisfer parcali,TIER-2,Belirsiz  — dikkatli inceleme gerekli
10,LGNpc,185.0,161.0,176.0,91.1,False,False,0.91,1.258,1.259,0.6,0.665,0.688,0.162,0.125,0.263,0.269,0.261,0.286,—,—,0.852,0.612,0.818,T1 outlier yuksek (0.16),TIER-1,Guvenilir — uzman dogrulamasi onerilir
