id,label,atlas_mm3,left_mm3,right_mm3,retention_%,left_fragmented,right_fragmented,lr_volume_ratio,t1_mean_left,t1_mean_right,mirror_err_mm,compactness_l,compactness_r,t1_outlier_l,t1_outlier_r,gradient_l,gradient_r,bbox_fill_l,bbox_fill_r,glcm_homo_l,glcm_homo_r,consist_score,loo_dsc,quality_score,morph_flags,tier,tier_note
1,AD,9.0,3.0,4.0,38.9,False,False,0.75,-0.895,-1.478,3.0,0.0,1.0,0.333,0.25,0.466,0.53,0.75,0.667,—,—,0.359,0.187,0.272,Sol T1 yogunluk dusuk (-0.90); Sag T1 yogunluk dusuk (-1.48); Dusuk kompaktlik (0.00); T1 outlier yuksek (0.33); Hastalar arasi tutarsiz (CV skoru=0.36),TIER-3,Guvenilmez — kucuk veya kotu propagate
2,AM,50.0,40.0,32.0,72.0,False,False,1.25,-0.406,0.276,1.1,0.837,0.811,0.075,0.0,0.763,0.814,0.333,0.267,—,—,0.718,0.479,0.63,Sol T1 yogunluk dusuk (-0.41),TIER-1,Guvenilir — uzman dogrulamasi onerilir
3,AV,292.0,230.0,169.0,68.3,False,False,1.36,-0.127,0.294,1.2,0.674,0.65,0.013,0.154,0.708,0.707,0.293,0.252,—,—,0.736,0.657,0.827,T1 outlier yuksek (0.15),TIER-1,Guvenilir — uzman dogrulamasi onerilir
4,CL,884.0,477.0,400.0,49.6,False,False,1.19,0.177,0.182,2.0,0.382,0.402,0.229,0.268,0.432,0.462,0.166,0.167,0.998,0.998,0.8,0.528,0.757,T1 outlier yuksek (0.27),TIER-1,Guvenilir — uzman dogrulamasi onerilir
5,CM,308.0,173.0,159.0,53.9,False,False,1.09,0.809,0.84,1.8,0.734,0.781,0.012,0.044,0.21,0.231,0.246,0.284,—,—,0.852,0.623,0.835,—,TIER-1,Guvenilir — uzman dogrulamasi onerilir
6,CeM,154.0,84.0,82.0,53.9,False,False,1.02,-0.021,0.222,0.9,0.582,0.581,0.059,0.195,0.907,0.883,0.139,0.124,—,—,0.696,0.467,0.694,T1 outlier yuksek (0.20),TIER-1,Guvenilir — uzman dogrulamasi onerilir
7,Hb,51.0,30.0,27.0,55.9,False,False,1.11,-0.554,-0.55,2.1,0.809,0.758,0.0,0.0,1.082,1.085,0.25,0.216,—,—,0.622,0.45,0.543,Sol T1 yogunluk dusuk (-0.55); Sag T1 yogunluk dusuk (-0.55),TIER-2,Belirsiz  — dikkatli inceleme gerekli
8,LD,164.0,141.0,121.0,79.9,False,False,1.17,-0.24,-0.045,2.2,0.564,0.596,0.071,0.066,0.866,0.851,0.131,0.148,—,—,0.606,0.445,0.743,—,TIER-1,Guvenilir — uzman dogrulamasi onerilir
9,LGNmc,77.0,52.0,55.0,69.5,False,False,0.95,0.609,0.561,2.7,0.517,0.494,0.173,0.109,0.544,0.709,0.203,0.175,—,—,0.826,0.378,0.65,T1 outlier yuksek (0.17),TIER-1,Guvenilir — uzman dogrulamasi onerilir
10,LGNpc,185.0,155.0,128.0,76.5,False,False,1.21,0.926,1.008,2.4,0.722,0.646,0.065,0.141,0.241,0.371,0.307,0.296,—,—,0.852,0.612,0.832,T1 outlier orta (0.14),TIER-1,Guvenilir — uzman dogrulamasi onerilir
11,LP,448.0,355.0,612.0,107.9,False,False,0.58,0.766,0.737,1.4,0.64,0.657,0.11,0.168,0.174,0.307,0.235,0.265,0.999,0.998,0.872,0.666,0.851,T1 outlier yuksek (0.17),TIER-1,Guvenilir — uzman dogrulamasi onerilir
12,Li,81.0,33.0,35.0,42.0,False,True,0.94,-0.237,-0.06,2.1,0.731,0.678,0.0,0.0,0.915,0.987,0.189,0.111,—,—,0.635,0.536,0.54,Tek hemisfer parcali,TIER-2,Belirsiz  — dikkatli inceleme gerekli
13,MAX_VOLUME,10020.0,6753.0,6483.0,66.0,False,False,1.04,0.641,0.733,2.0,0.613,0.603,0.18,0.164,0.317,0.325,0.244,0.226,0.995,0.995,0.873,0.86,0.909,T1 outlier yuksek (0.18),TIER-1,Guvenilir — uzman dogrulamasi onerilir
14,MDmc,207.0,114.0,92.0,49.8,False,False,1.24,-1.058,-0.707,1.7,0.707,0.708,0.114,0.0,0.86,1.009,0.285,0.319,—,—,0.546,0.543,0.658,Sol T1 yogunluk dusuk (-1.06); Sag T1 yogunluk dusuk (-0.71); T1 outlier orta (0.11),TIER-1,Guvenilir — uzman dogrulamasi onerilir
15,MDpc,1035.0,494.0,426.0,44.4,False,False,1.16,0.402,0.544,1.7,0.674,0.661,0.198,0.197,0.48,0.495,0.309,0.296,0.998,0.999,0.79,0.705,0.795,T1 outlier yuksek (0.20),TIER-1,Guvenilir — uzman dogrulamasi onerilir
16,MGN,213.0,175.0,180.0,83.3,False,False,0.97,0.544,0.025,2.8,0.736,0.723,0.24,0.022,0.516,0.643,0.324,0.286,—,—,0.777,0.649,0.831,T1 outlier yuksek (0.24),TIER-1,Guvenilir — uzman dogrulamasi onerilir
17,MV,16.0,14.0,10.0,75.0,False,False,1.4,-1.237,-0.449,1.3,0.858,0.886,0.214,0.0,1.046,1.373,0.389,0.714,—,—,0.566,0.245,0.437,Sol T1 yogunluk dusuk (-1.24); Sag T1 yogunluk dusuk (-0.45); T1 outlier yuksek (0.21),TIER-3,Guvenilmez — kucuk veya kotu propagate
